Antigen,Antigen,Antigen,Antigen,Antigen
Antigen Name,Organism Name,# Epitopes,# Assays,# References
"Epstein-Barr nuclear antigen 1","Human herpesvirus 4 (Epstein Barr virus)","63","178","27"
"Apoptosis regulator BHRF1","Human herpesvirus 4 (Epstein Barr virus)","7","12","6"
"Epstein-Barr nuclear antigen 6","Human herpesvirus 4 (Epstein Barr virus)","16","46","6"
"Epstein-Barr nuclear antigen 3","Human herpesvirus 4 (Epstein Barr virus)","3","10","3"
"Envelope glycoprotein B","Human herpesvirus 4 (Epstein Barr virus)","9","12","4"
"Envelope glycoprotein GP350","Human herpesvirus 4 (Epstein Barr virus)","2","7","3"
"Latent membrane protein 2","Human herpesvirus 4 (Epstein Barr virus)","10","33","5"
"Epstein-Barr nuclear antigen 2","Human herpesvirus 4 (Epstein Barr virus)","8","51","9"
"Latent membrane protein 1","Human herpesvirus 4 (Epstein Barr virus)","11","31","7"
"Trans-activator protein BZLF1","Human herpesvirus 4 (Epstein Barr virus)","4","11","3"
"DNA polymerase catalytic subunit","Human herpesvirus 4 (Epstein Barr virus)","1","20","7"
"Major DNA-binding protein","Human herpesvirus 4 (Epstein Barr virus)","2","4","1"
"DNA primase","Human herpesvirus 4 (Epstein Barr virus)","1","2","1"
"Other Human herpesvirus 4 (Epstein Barr virus) protein","Human herpesvirus 4 (Epstein Barr virus)","1","4","1"
"Epstein-Barr nuclear antigen 4","Human herpesvirus 4 (Epstein Barr virus)","4","4","2"
"Major tegument protein","Human herpesvirus 4 (Epstein Barr virus)","18","20","1"
"Inner tegument protein","Human herpesvirus 4 (Epstein Barr virus)","1","1","1"
"mRNA export factor ICP27 homolog","Human herpesvirus 4 (Epstein Barr virus)","1","5","1"
"Envelope glycoprotein L","Human herpesvirus 4 (Epstein Barr virus)","1","1","1"
"Envelope glycoprotein H","Human herpesvirus 4 (Epstein Barr virus)","1","6","1"
"Replication and transcription activator","Human herpesvirus 4 (Epstein Barr virus)","1","2","1"
"Glycoprotein 42","Human herpesvirus 4 (Epstein Barr virus)","1","1","1"
"DNA polymerase processivity factor BMRF1","Human herpesvirus 4 (Epstein Barr virus)","1","4","2"
"Nuclear egress protein 2","Human herpesvirus 4 (Epstein Barr virus)","1","2","1"
"Ribonucleoside-diphosphate reductase small subunit","Human herpesvirus 4 (Epstein Barr virus)","1","3","2"
"Epstein-Barr nuclear antigen leader protein","Human herpesvirus 4 (Epstein Barr virus)","1","1","1"
"Secreted protein BARF1","Human herpesvirus 4 (Epstein Barr virus)","17","17","1"
"Large tegument protein deneddylase","Human herpesvirus 4 (Epstein Barr virus)","1","4","1"
"Triplex capsid protein 1","Human herpesvirus 4 (Epstein Barr virus)","2","10","1"
"Major capsid protein","Human herpesvirus 4 (Epstein Barr virus)","3","13","1"
